date,year,month,day,centroid_lat,centroid_lon,elev_m,u2_ms,tmin_c,tmax_c,srad_wm2,ea_kpa,prcp_mm,etr_mm,eto_mm
2017-01-01,2017,1,1,38.8583333333,-107.5999999667,1751.5200195312,3.1876819489,-6.4784301758,4.0733886719,72.1494522095,0.3452333003,0.0000000000,1.8132150173,1.1663715839
2017-01-02,2017,1,2,38.8583333333,-107.5999999667,1751.5200195312,5.0972723540,-1.0924438477,3.5873962402,88.1699447632,0.4177586355,0.0000000000,2.2144930363,1.4062765837
2017-01-03,2017,1,3,38.8583333333,-107.5999999667,1751.5200195312,4.5472100814,-2.9894165039,3.2853942871,88.0590972900,0.3863678943,2.2204728127,2.0401215553,1.3013781309
2017-01-04,2017,1,4,38.8583333333,-107.5999999667,1751.5200195312,6.1711712913,-2.5304321289,3.4414001465,80.4435577393,0.4267934919,3.6389055252,2.0591878891,1.3146039248
2017-01-05,2017,1,5,38.8583333333,-107.5999999667,1751.5200195312,4.9840949084,-13.8444274902,2.7404113770,89.0475997925,0.4186770462,17.0128479004,0.6666947007,0.4751044810
2017-01-06,2017,1,6,38.8583333333,-107.5999999667,1751.5200195312,1.5115047341,-21.0714324951,-6.0395874023,113.1900787354,0.1269332083,0.0000000000,0.7822748423,0.5316944718
2017-01-07,2017,1,7,38.8583333333,-107.5999999667,1751.5200195312,2.7023161432,-18.8434356689,-2.6846069336,102.9938049316,0.1751707958,1.1159727573,1.1443396807,0.7474538088
2017-01-08,2017,1,8,38.8583333333,-107.5999999667,1751.5200195312,4.0803055943,-6.8934387207,2.2224060059,60.1148414612,0.4223913955,7.8889884949,1.0879639387,0.7410879731
2017-01-09,2017,1,9,38.8583333333,-107.5999999667,1751.5200195312,8.1014078584,-2.9244445801,5.9063964844,70.0516052246,0.5678046180,14.1895399094,1.5367515087,1.0086554289
2017-01-10,2017,1,10,38.8583333333,-107.5999999667,1751.5200195312,5.5938377102,-2.6624206543,5.9864135742,89.0009536743,0.4114551273,0.0000000000,2.6896450520,1.6988189220
2017-01-11,2017,1,11,38.8583333333,-107.5999999667,1751.5200195312,7.3810144822,-1.6714233398,5.4263854980,89.9340667725,0.4211532114,5.0302209854,2.8994741440,1.8258180618
2017-01-12,2017,1,12,38.8583333333,-107.5999999667,1751.5200195312,2.8130655097,-1.7964233398,5.8033996582,86.9729003906,0.4380806856,2.1432936192,1.8915295601,1.2422912121
2017-01-13,2017,1,13,38.8583333333,-107.5999999667,1751.5200195312,1.9721940448,-1.4024414062,7.1964050293,88.2152938843,0.4385879883,0.8844344020,1.7944723368,1.1963917017
2017-01-14,2017,1,14,38.8583333333,-107.5999999667,1751.5200195312,1.8274130527,-1.5124267578,3.2283874512,88.7663269043,0.4346067666,1.1451758146,1.2821940184,0.8984026909
2017-01-15,2017,1,15,38.8583333333,-107.5999999667,1751.5200195312,1.7763411837,-2.5964416504,4.1253906250,97.1416778564,0.4088043907,1.7240215540,1.3915103674,0.9628298879
2017-01-16,2017,1,16,38.8583333333,-107.5999999667,1751.5200195312,1.3277553551,-3.4334167480,1.8644042969,98.6068801880,0.3287298607,0.0000000000,1.2342010736,0.8680803180
