date,year,month,day,centroid_lat,centroid_lon,elev_m,u2_ms,tmin_c,tmax_c,srad_wm2,ea_kpa,prcp_mm,etr_mm,eto_mm
2017-01-01,2017,1,1,38.4416666667,-106.5999999667,2476.8400878906,2.7240343976,-18.5390533447,-3.7894348145,102.7168426514,0.2048938625,0.0000000000,0.8351518512,0.5739542246
2017-01-02,2017,1,2,38.4416666667,-106.5999999667,2476.8400878906,3.3742249741,-15.4170593262,-4.2784484863,100.2402801514,0.2063945997,0.0000000000,0.9816193581,0.6603395343
2017-01-03,2017,1,3,38.4416666667,-106.5999999667,2476.8400878906,3.5051101352,-13.3600524902,-3.7634338379,93.6400909424,0.2265149064,4.4465484619,1.0325735807,0.6945785284
2017-01-04,2017,1,4,38.4416666667,-106.5999999667,2476.8400878906,4.0733851410,-12.0770324707,-2.1644348145,89.6608276367,0.2871047511,14.6683273315,0.9325340986,0.6397706270
2017-01-05,2017,1,5,38.4416666667,-106.5999999667,2476.8400878906,3.4864737009,-20.4220489502,-1.2264465332,94.3530502319,0.2922996124,14.5885858536,0.5399466157,0.4014586806
2017-01-06,2017,1,6,38.4416666667,-106.5999999667,2476.8400878906,2.1894862592,-31.0610412598,-11.3414367676,113.9427108765,0.0983503162,0.0000000000,0.4865772128,0.3433948457
2017-01-07,2017,1,7,38.4416666667,-106.5999999667,2476.8400878906,2.0825685713,-26.8630432129,-3.4454406738,106.4254302979,0.1167638118,2.2566657066,1.1124831438,0.7281580567
2017-01-08,2017,1,8,38.4416666667,-106.5999999667,2476.8400878906,3.9855980271,-12.8780578613,1.0425659180,89.4216842651,0.3498421694,15.0391225815,0.9247441888,0.6463515759
2017-01-09,2017,1,9,38.4416666667,-106.5999999667,2476.8400878906,5.8420321173,-9.4450439453,1.7395568848,81.2896194458,0.4349249440,13.4084215164,0.7341156602,0.5301587582
2017-01-10,2017,1,10,38.4416666667,-106.5999999667,2476.8400878906,5.3700546283,-10.0110534668,-1.2854370117,79.5891723633,0.2668738834,3.5424866676,1.5314631462,0.9979276657
2017-01-11,2017,1,11,38.4416666667,-106.5999999667,2476.8400878906,5.1099997968,-9.1330322266,0.1055541992,96.5290451050,0.2771039329,3.5384995937,1.7504763603,1.1357350349
2017-01-12,2017,1,12,38.4416666667,-106.5999999667,2476.8400878906,2.3215469416,-10.2200378418,-1.7224487305,100.4747009277,0.2487251272,1.5519561768,1.1705160141,0.8061382174
2017-01-13,2017,1,13,38.4416666667,-106.5999999667,2476.8400878906,1.9968639418,-11.0610412598,0.0035644531,97.7814025879,0.2774369370,0.9329678416,1.0961713791,0.7716370225
