date,year,month,day,centroid_lat,centroid_lon,elev_m,u2_ms,tmin_c,tmax_c,srad_wm2,ea_kpa,prcp_mm,etr_mm,eto_mm
2017-01-01,2017,1,1,38.7333333333,-108.0999999667,1533.7199707031,2.4196974380,-8.0268920898,3.6009765625,61.4084091187,0.3297505506,0.0000000000,1.5098708868,0.9884939194
2017-01-02,2017,1,2,38.7333333333,-108.0999999667,1533.7199707031,2.7913914800,-1.8479064941,4.9139648438,83.4986572266,0.4289179105,0.0000000000,1.7587984800,1.1441361904
2017-01-03,2017,1,3,38.7333333333,-108.0999999667,1533.7199707031,2.1516755611,-3.7509216309,4.6619812012,78.4597473145,0.3904533877,0.0000000000,1.5457960367,1.0206975937
2017-01-04,2017,1,4,38.7333333333,-108.0999999667,1533.7199707031,2.5848785030,-0.3909057617,6.0599609375,69.2224121094,0.4233861056,0.3734286129,2.0372512341,1.3159391880
2017-01-05,2017,1,5,38.7333333333,-108.0999999667,1533.7199707031,3.2698122235,-13.7298950195,5.1889587402,76.9921188354,0.4481209722,10.7646589279,0.8915798068,0.6216703057
2017-01-06,2017,1,6,38.7333333333,-108.0999999667,1533.7199707031,1.5565244161,-23.8659118652,-7.6390441895,107.0822753906,0.1462741954,0.0000000000,0.5203402042,0.3733495474
2017-01-07,2017,1,7,38.7333333333,-108.0999999667,1533.7199707031,2.0313699130,-22.7569030762,-5.4380249023,96.9212112427,0.2004613138,0.0000000000,0.4738447964,0.3494144976
2017-01-08,2017,1,8,38.7333333333,-108.0999999667,1533.7199707031,2.6718274873,-8.4718994141,-0.1460327148,46.9143943787,0.4105586448,0.3854230940,0.5440282822,0.4206791520
2017-01-09,2017,1,9,38.7333333333,-108.0999999667,1533.7199707031,3.2928575758,-5.3208984375,7.7039733887,60.5712509155,0.5589022200,2.2301764488,1.3376231194,0.9098886251
2017-01-10,2017,1,10,38.7333333333,-108.0999999667,1533.7199707031,2.5950648083,-4.4399169922,7.6579833984,91.7621154785,0.4131753696,0.0000000000,2.0303797722,1.3143833876
2017-01-11,2017,1,11,38.7333333333,-108.0999999667,1533.7199707031,3.1690283954,-0.9269165039,8.9579711914,76.5361557007,0.4215251377,0.7884380221,2.7675392628,1.7529894114
2017-01-12,2017,1,12,38.7333333333,-108.0999999667,1533.7199707031,2.4288590854,-1.3378967285,7.4709716797,71.0311660767,0.4298421340,0.4054139555,2.0977630615,1.3657130003
2017-01-13,2017,1,13,38.7333333333,-108.0999999667,1533.7199707031,1.3830078855,-0.3369201660,9.3969665527,82.9086914062,0.4701080296,0.5269581079,1.6824032068,1.1421990395
2017-01-14,2017,1,14,38.7333333333,-108.0999999667,1533.7199707031,1.1125696990,0.3310791016,4.6559692383,79.4824523926,0.4428250678,1.6552400589,1.2074788809,0.8681579232
2017-01-15,2017,1,15,38.7333333333,-108.0999999667,1533.7199707031,1.8973398045,-1.2348999023,5.1519714355,89.3894729614,0.4029850820,0.5381529927,1.6797226667,1.1278256178
2017-01-16,2017,1,16,38.7333333333,-108.0999999667,1533.7199707031,2.1245483397,-2.1229003906,4.1089721680,93.0221023560,0.3386956058,0.0000000000,1.8732327223,1.2321822643
2017-01-17,2017,1,17,38.7333333333,-108.0999999667,1533.7199707031,0.6862305922,-3.0878967285,7.3229614258,112.3044891357,0.3161108902,0.0000000000,1.2097048759,0.8667320013
2017-01-18,2017,1,18,38.7333333333,-108.0999999667,1533.7199707031,1.7626705778,-4.9179138184,8.5559631348,115.7281036377,0.3339386585,0.0000000000,2.0935945511,1.3680452108
2017-01-19,2017,1,19,38.7333333333,-108.0999999667,1533.7199707031,2.3893100710,-5.4458984375,5.4159790039,80.5229644775,0.3869187391,3.2832927704,1.6979893446,1.1351619959
2017-01-20,2017,1,20,38.7333333333,-108.0999999667,1533.7199707031,1.9011802211,-1.9659179687,5.8209777832,70.2823715210,0.4427251136,0.5653404593,1.5706745386,1.0778452158
2017-01-21,2017,1,21,38.7333333333,-108.0999999667,1533.7199707031,1.9113756210,-4.3399108887,4.0329833984,89.0818710327,0.4198146522,0.6301107407,1.2965483665,0.9158709049
2017-01-22,2017,1,22,38.7333333333,-108.0999999667,1533.7199707031,2.3550006144,-6.1429199219,4.5749755859,105.0878906250,0.3330516125,0.4110113680,1.8131657839,1.2080503702
2017-01-23,2017,1,23,38.7333333333,-108.0999999667,1533.7199707031,2.9166945201,-3.9179138184,8.5919738770,70.6861953735,0.4372469486,1.1250835657,2.3002164364,1.5014512539
2017-01-24,2017,1,24,38.7333333333,-108.0999999667,1533.7199707031,1.5538753918,-7.8118957520,3.0379577637,81.3663482666,0.3249398985,0.0000000000,1.2639498711,0.8903158903
2017-01-25,2017,1,25,38.7333333333,-108.0999999667,1533.7199707031,1.2991948430,-10.6709045410,1.1379638672,87.4267578125,0.2340383422,0.0000000000,1.2085814476,0.8486071229
2017-01-26,2017,1,26,38.7333333333,-108.0999999667,1533.7199707031,1.5253196053,-14.7908996582,-0.2170166016,66.5677566528,0.2245267325,0.0000000000,1.0497553349,0.7337785363
2017-01-27,2017,1,27,38.7333333333,-108.0999999667,1533.7199707031,1.9596652565,-14.4469055176,-0.8710388184,126.5731964111,0.1863979368,0.0000000000,1.3623701334,0.9297335148
2017-01-28,2017,1,28,38.7333333333,-108.0999999667,1533.7199707031,0.6187580441,-12.6889099121,2.6509643555,124.8820571899,0.2010352564,0.0000000000,1.0071226358,0.7634320855
2017-01-29,2017,1,29,38.7333333333,-108.0999999667,1533.7199707031,0.7267238398,-10.7078918457,7.3329711914,119.1418457031,0.2722349696,0.0000000000,1.2879444361,0.9474487305
2017-01-30,2017,1,30,38.7333333333,-108.0999999667,1533.7199707031,1.0262503817,-8.6178955078,9.7979675293,126.2079772949,0.3053273714,0.0000000000,1.7489569187,1.2260682583
2017-01-31,2017,1,31,38.7333333333,-108.0999999667,1533.7199707031,2.1455887791,-3.4635986328,13.5454650879,132.8643188477,0.3244941503,0.0000000000,3.4042901993,2.1885433197
2017-02-01,2017,2,1,38.7333333333,-108.0999999667,1533.7199707031,2.1830103712,0.4283996582,16.3204589844,131.2722930908,0.3787099861,0.0000000000,3.9235274792,2.5075418949
2017-02-02,2017,2,2,38.7333333333,-108.0999999667,1533.7199707031,2.2080882767,1.0464111328,18.7534423828,92.0229034424,0.4046913538,0.0000000000,4.3553752899,2.7605426311
2017-02-03,2017,2,3,38.7333333333,-108.0999999667,1533.7199707031,2.2691524329,1.2404113770,18.0134521484,103.5839996338,0.4059066393,0.0000000000,4.2982945442,2.7347378731
2017-02-04,2017,2,4,38.7333333333,-108.0999999667,1533.7199707031,2.3988984512,0.0884033203,18.2374511719,100.6222229004,0.4581957051,0.0000000000,4.2508597374,2.7156112194
2017-02-05,2017,2,5,38.7333333333,-108.0999999667,1533.7199707031,2.6233543549,0.8723999023,17.5734497070,134.1782684326,0.4313699165,4.8573822975,4.5193791389,2.8870596886
2017-02-06,2017,2,6,38.7333333333,-108.0999999667,1533.7199707031,2.7475683616,-1.4315856934,12.4804626465,112.9337387085,0.4217476608,0.0000000000,3.4022080898,2.2198491096
2017-02-07,2017,2,7,38.7333333333,-108.0999999667,1533.7199707031,3.0889659826,-2.6966003418,12.9734436035,78.2808074951,0.5168394454,0.0000000000,3.0851430893,2.0165939331
2017-02-08,2017,2,8,38.7333333333,-108.0999999667,1533.7199707031,2.4041365824,-2.1005920410,14.6674438477,133.8712615967,0.5088034853,0.0000000000,3.2558760643,2.1766729355
2017-02-09,2017,2,9,38.7333333333,-108.0999999667,1533.7199707031,2.7766942545,0.4574218750,17.3614440918,133.7549133301,0.4551364161,0.0000000000,4.5480680466,2.9300773144
2017-02-10,2017,2,10,38.7333333333,-108.0999999667,1533.7199707031,3.2005748777,-5.4346069336,10.0154663086,117.0531616211,0.5385548342,0.5690723658,2.1722130775,1.5067909956
2017-02-11,2017,2,11,38.7333333333,-108.0999999667,1533.7199707031,2.3620860188,-6.7065795898,8.4734436035,91.4976348877,0.6075358871,0.0000000000,1.1624855995,0.9041370749
2017-02-12,2017,2,12,38.7333333333,-108.0999999667,1533.7199707031,1.5824844976,2.6093994141,10.5584655762,99.8509216309,0.5322339774,1.6612235308,2.2203691006,1.5851017237
2017-02-13,2017,2,13,38.7333333333,-108.0999999667,1533.7199707031,2.2346009888,2.1993957520,14.2514587402,122.9434280396,0.4637334000,0.0000000000,3.5365462303,2.3626043797
2017-02-14,2017,2,14,38.7333333333,-108.0999999667,1533.7199707031,1.7806725302,3.8524108887,14.9024597168,151.5817260742,0.3225338643,0.0000000000,3.7948412895,2.5281667709
2017-02-15,2017,2,15,38.7333333333,-108.0999999667,1533.7199707031,0.8857041728,-2.6215881348,11.2564636230,154.4349365234,0.3184336381,0.0000000000,2.1185445786,1.5765756369
2017-02-16,2017,2,16,38.7333333333,-108.0999999667,1533.7199707031,1.8704064228,-4.2925781250,9.7994628906,157.3446197510,0.3239983856,0.0000000000,2.7704298496,1.9229860306
2017-02-17,2017,2,17,38.7333333333,-108.0999999667,1533.7199707031,2.5376663097,-4.2995971680,15.5044494629,140.0942993164,0.4176578514,0.0000000000,3.9311704636,2.6026818752
2017-02-18,2017,2,18,38.7333333333,-108.0999999667,1533.7199707031,1.9408492485,-0.1995910645,18.7034545898,127.5306396484,0.5006480384,0.0000000000,3.9035329819,2.6208655834
2017-02-19,2017,2,19,38.7333333333,-108.0999999667,1533.7199707031,2.1568732125,-4.2285827637,14.1244445801,112.6187133789,0.5143581723,1.4624378681,2.8971123695,1.9925118685
2017-02-20,2017,2,20,38.7333333333,-108.0999999667,1533.7199707031,2.4724482409,-10.2085937500,1.6004577637,150.9736785889,0.5093304895,0.7054936886,0.5715492964,0.5947393179
2017-02-21,2017,2,21,38.7333333333,-108.0999999667,1533.7199707031,3.1946106053,-11.2255920410,5.6874633789,143.5349121094,0.5304941737,1.4413897991,0.9128540754,0.7848384380
2017-02-22,2017,2,22,38.7333333333,-108.0999999667,1533.7199707031,2.9271624013,-2.5055908203,5.9324584961,150.9531707764,0.5234939165,0.0000000000,1.8058017492,1.3716824055
2017-02-23,2017,2,23,38.7333333333,-108.0999999667,1533.7199707031,2.4802068238,-3.7316040039,5.8714538574,130.2331848145,0.3283829788,0.0000000000,2.5322682858,1.7622029781
2017-02-24,2017,2,24,38.7333333333,-108.0999999667,1533.7199707031,1.6724102684,-5.6905883789,5.4224487305,88.4555587769,0.2389750518,0.0000000000,2.2237672806,1.5395270586
2017-02-25,2017,2,25,38.7333333333,-108.0999999667,1533.7199707031,1.6717848811,-4.6505798340,7.8924499512,145.4693145752,0.2439408889,0.0000000000,2.7105016708,1.9053411484
2017-02-26,2017,2,26,38.7333333333,-108.0999999667,1533.7199707031,1.6721700641,-5.2895874023,15.1094604492,174.6180877686,0.2269791042,0.0000000000,3.8706390858,2.6354274750
2017-02-27,2017,2,27,38.7333333333,-108.0999999667,1533.7199707031,3.3396665752,-1.2016052246,16.4744506836,118.6581726074,0.3906151847,0.0000000000,5.1539573669,3.3368818760
2017-02-28,2017,2,28,38.7333333333,-108.0999999667,1533.7199707031,2.3298674280,-5.6850646973,11.8951660156,140.2130889893,0.4060219632,0.0000000000,3.0962655544,2.1501717567
2017-03-01,2017,3,1,38.7333333333,-108.0999999667,1533.7199707031,0.8791015845,-6.8450683594,12.8471618652,191.6843566895,0.2482000237,0.0000000000,2.5872178078,1.9595642090
2017-03-02,2017,3,2,38.7333333333,-108.0999999667,1533.7199707031,0.7460808426,-8.9380859375,9.9721618652,193.5480651855,0.2646740792,0.0000000000,2.1201641560,1.6866989136
2017-03-03,2017,3,3,38.7333333333,-108.0999999667,1533.7199707031,1.9216958488,-7.7690795898,15.3391662598,197.3299560547,0.3142509678,0.0000000000,3.9686565399,2.7538881302
