date,year,month,day,centroid_lat,centroid_lon,elev_m,u2_ms,tmin_c,tmax_c,srad_wm2,ea_kpa,prcp_mm,etr_mm,eto_mm
2017-01-01,2017,1,1,38.4000000000,-107.4749999667,2387.1999511719,1.9498767952,-10.4545349121,2.0813842773,86.7794418335,0.2732055204,0.0000000000,1.3185429573,0.8845244050
2017-01-02,2017,1,2,38.4000000000,-107.4749999667,2387.1999511719,2.8684220038,-7.0745300293,0.1033874512,107.6644515991,0.3135073519,0.0000000000,1.3035891056,0.8753200769
2017-01-03,2017,1,3,38.4000000000,-107.4749999667,2387.1999511719,3.2832415551,-8.6725219727,-0.0266174316,97.0843887329,0.3138785006,0.0000000000,1.2322263718,0.8297355771
2017-01-04,2017,1,4,38.4000000000,-107.4749999667,2387.1999511719,4.2258269936,-6.4965270996,1.0104003906,93.1989135742,0.3639534776,1.1146428585,1.3633062840,0.9097518325
2017-01-05,2017,1,5,38.4000000000,-107.4749999667,2387.1999511719,5.2460025412,-11.8625244141,0.6914001465,101.3689117432,0.3872392375,9.7604913712,0.6835330725,0.4951826334
2017-01-06,2017,1,6,38.4000000000,-107.4749999667,2387.1999511719,2.1480284494,-22.2355407715,-6.5946105957,127.3217010498,0.1209059572,0.0000000000,0.8997814655,0.6072946787
2017-01-07,2017,1,7,38.4000000000,-107.4749999667,2387.1999511719,1.6399216928,-18.7205413818,-2.0246032715,117.3001403809,0.1407446877,0.0000000000,1.1536483765,0.7705481648
2017-01-08,2017,1,8,38.4000000000,-107.4749999667,2387.1999511719,2.9966754382,-7.7045349121,3.1933837891,71.3760147095,0.4213957968,4.8253774643,1.0919250250,0.7658411264
2017-01-09,2017,1,9,38.4000000000,-107.4749999667,2387.1999511719,5.6655951510,-5.7475341797,4.3703857422,83.8248138428,0.5227230340,5.0997195244,1.0116857290,0.7107952237
2017-01-10,2017,1,10,38.4000000000,-107.4749999667,2387.1999511719,5.0011296237,-6.2035278320,2.4883972168,102.0395660400,0.3398631639,0.0000000000,1.9682798386,1.2739820480
2017-01-11,2017,1,11,38.4000000000,-107.4749999667,2387.1999511719,5.0057881973,-6.4875244141,2.6953979492,103.2015609741,0.3628382269,1.2690874338,1.8031243086,1.1790939569
2017-01-12,2017,1,12,38.4000000000,-107.4749999667,2387.1999511719,1.7354927119,-6.3895324707,1.9873901367,106.9703826904,0.3532847725,1.2777241468,1.1487158537,0.8228226900
2017-01-13,2017,1,13,38.4000000000,-107.4749999667,2387.1999511719,2.1063108194,-5.2725280762,4.0263916016,103.5220947266,0.3682577428,0.4897519052,1.4982930422,1.0287072659
2017-01-14,2017,1,14,38.4000000000,-107.4749999667,2387.1999511719,2.6552715758,-5.1345275879,2.7413879395,96.1709823608,0.3846941352,1.8711167574,1.4097234011,0.9719954729
2017-01-15,2017,1,15,38.4000000000,-107.4749999667,2387.1999511719,2.1267922086,-6.1935485840,3.1104064941,101.2241058350,0.4068278184,1.8858497143,1.1656860113,0.8407298923
2017-01-16,2017,1,16,38.4000000000,-107.4749999667,2387.1999511719,1.1536464274,-7.6765197754,0.7933898926,106.5469207764,0.3579647377,0.0000000000,0.8386194110,0.6611174345
2017-01-17,2017,1,17,38.4000000000,-107.4749999667,2387.1999511719,1.7153822395,-8.9865478516,3.4594055176,132.8893127441,0.3394975329,0.0000000000,1.2692054510,0.9104325771
2017-01-18,2017,1,18,38.4000000000,-107.4749999667,2387.1999511719,2.2258448534,-11.6385253906,3.5403991699,136.5145874023,0.2779222205,0.0000000000,1.6066061258,1.0908671618
2017-01-19,2017,1,19,38.4000000000,-107.4749999667,2387.1999511719,1.9974133624,-11.6175292969,3.4173828125,126.0342102051,0.3048455025,3.3302114010,1.3913254738,0.9719815254
2017-01-20,2017,1,20,38.4000000000,-107.4749999667,2387.1999511719,2.8301276871,-8.7685302734,0.4103942871,94.2557907104,0.3317608920,0.6883961558,1.1678202152,0.8249331117
2017-01-21,2017,1,21,38.4000000000,-107.4749999667,2387.1999511719,3.6409687926,-10.0445312500,-0.2166198730,118.6641921997,0.3121074686,7.8756575584,1.2305021286,0.8583946228
2017-01-22,2017,1,22,38.4000000000,-107.4749999667,2387.1999511719,2.5454953312,-12.4655212402,-0.4256042480,118.9524688721,0.2872947770,1.8238686323,1.0749671459,0.7744489908
2017-01-23,2017,1,23,38.4000000000,-107.4749999667,2387.1999511719,2.5325472998,-9.8255371094,3.9313903809,89.6504745483,0.3747536481,2.0580759048,1.3250855207,0.9333513975
2017-01-24,2017,1,24,38.4000000000,-107.4749999667,2387.1999511719,3.2583883396,-14.2955383301,-2.8106140137,117.0010070801,0.2616559546,1.6003304720,0.8993371129,0.6542122960
2017-01-25,2017,1,25,38.4000000000,-107.4749999667,2387.1999511719,3.7073062102,-16.8145202637,-4.2986206055,89.3047180176,0.1931938738,0.7468208671,1.0867666006,0.7398692369
2017-01-26,2017,1,26,38.4000000000,-107.4749999667,2387.1999511719,3.4457677110,-22.3935302734,-5.6306213379,110.1917266846,0.1598086332,0.0000000000,0.9288827181,0.6403964758
2017-01-27,2017,1,27,38.4000000000,-107.4749999667,2387.1999511719,2.3478183793,-22.4375366211,-4.9635986328,147.8611907959,0.1207176228,0.0000000000,1.1723086834,0.8071423173
2017-01-28,2017,1,28,38.4000000000,-107.4749999667,2387.1999511719,2.9066760190,-16.4675354004,1.2903991699,143.4989318848,0.1666405537,0.0000000000,1.9951308966,1.3173089027
2017-01-29,2017,1,29,38.4000000000,-107.4749999667,2387.1999511719,1.6866333266,-13.1155456543,5.1113830566,145.3480224609,0.2088446534,0.0000000000,1.9251216650,1.3157023191
2017-01-30,2017,1,30,38.4000000000,-107.4749999667,2387.1999511719,2.0324432537,-10.5255187988,7.1643920898,147.4947052002,0.2219409420,0.0000000000,2.4351572990,1.6230037212
2017-01-31,2017,1,31,38.4000000000,-107.4749999667,2387.1999511719,2.6829599874,-3.8488525391,10.6324401855,154.3252410889,0.2378398631,0.0000000000,3.6435921192,2.3422009945
2017-02-01,2017,2,1,38.4000000000,-107.4749999667,2387.1999511719,2.9284673868,0.9681335449,10.2024169922,165.3559875488,0.2082320946,0.0000000000,4.1953072548,2.6638967991
2017-02-02,2017,2,2,38.4000000000,-107.4749999667,2387.1999511719,2.7612844406,0.5311523438,11.0274291992,119.1066741943,0.2510930925,0.0000000000,3.9713850021,2.5405476093
2017-02-03,2017,2,3,38.4000000000,-107.4749999667,2387.1999511719,1.9355884699,0.3931518555,9.6284423828,148.5743408203,0.2669331345,0.0000000000,3.0486559868,2.0308687687
2017-02-04,2017,2,4,38.4000000000,-107.4749999667,2387.1999511719,3.2473182534,-0.0548461914,10.6324401855,145.3780822754,0.3715644301,0.0000000000,3.6605772972,2.3971915245
2017-02-05,2017,2,5,38.4000000000,-107.4749999667,2387.1999511719,2.0462527752,0.1171508789,9.3724304199,169.7107696533,0.2969901331,6.3612380028,3.0469381809,2.0598411560
2017-02-06,2017,2,6,38.4000000000,-107.4749999667,2387.1999511719,3.6705326528,-7.2728637695,3.9634338379,138.7921447754,0.2976957767,0.5980095267,2.3764739037,1.6034452915
2017-02-07,2017,2,7,38.4000000000,-107.4749999667,2387.1999511719,4.3678168361,-7.6528686523,7.2634216309,115.3754882812,0.4312891300,0.0000000000,2.2438435555,1.5232509375
2017-02-08,2017,2,8,38.4000000000,-107.4749999667,2387.1999511719,4.7652607139,-4.2638610840,9.4394165039,140.5118103027,0.3980423233,0.0000000000,3.4798653126,2.2842988968
2017-02-09,2017,2,9,38.4000000000,-107.4749999667,2387.1999511719,2.6343425898,-0.1918701172,11.2454162598,170.8751831055,0.3525437582,0.0000000000,3.5836091042,2.4050133228
2017-02-10,2017,2,10,38.4000000000,-107.4749999667,2387.1999511719,3.7468883931,-9.5948547363,4.4514404297,162.6420288086,0.4342139653,5.4807519913,1.4517332315,1.0961921215
2017-02-11,2017,2,11,38.4000000000,-107.4749999667,2387.1999511719,2.5164434433,-12.6538452148,2.6514221191,127.2291259766,0.4877110326,0.0000000000,0.4997471571,0.5199683905
2017-02-12,2017,2,12,38.4000000000,-107.4749999667,2387.1999511719,2.6743347429,-3.4698547363,3.8034301758,147.4569396973,0.4808451526,1.0237280130,1.4933087826,1.1668714285
2017-02-13,2017,2,13,38.4000000000,-107.4749999667,2387.1999511719,1.7834397842,-0.5808471680,7.5794311523,141.0006103516,0.3864224932,0.2734616399,2.3559777737,1.7040064335
2017-02-14,2017,2,14,38.4000000000,-107.4749999667,2387.1999511719,1.9906107821,0.4491516113,6.8684326172,190.2454833984,0.2271092669,0.0000000000,3.1458597183,2.1778724194
2017-02-15,2017,2,15,38.4000000000,-107.4749999667,2387.1999511719,1.5877415314,-6.8698486328,4.4874206543,193.6125793457,0.2056801241,1.8846813440,2.3086261749,1.6800192595
2017-02-16,2017,2,16,38.4000000000,-107.4749999667,2387.1999511719,1.5046126344,-8.7898620605,4.4674316406,198.4467926025,0.1877683351,0.0000000000,2.2587480545,1.6525211334
2017-02-17,2017,2,17,38.4000000000,-107.4749999667,2387.1999511719,1.4454658333,-5.9268554687,8.7514282227,182.9362335205,0.3135735637,0.0000000000,2.3973431587,1.7817674875
2017-02-18,2017,2,18,38.4000000000,-107.4749999667,2387.1999511719,2.6370757837,-0.7508605957,10.7444396973,174.1221313477,0.3689408088,0.0000000000,3.5238037109,2.4323995113
2017-02-19,2017,2,19,38.4000000000,-107.4749999667,2387.1999511719,3.0403633859,-9.2558654785,4.7664428711,172.1042175293,0.3922994029,3.6571733952,1.8213011026,1.3706318140
2017-02-20,2017,2,20,38.4000000000,-107.4749999667,2387.1999511719,2.5444196722,-14.2988647461,-4.8125671387,190.8290710449,0.3985985776,0.3265512288,0.5718512535,0.5968602896
2017-02-21,2017,2,21,38.4000000000,-107.4749999667,2387.1999511719,2.7351101902,-13.9428466797,0.7394348145,175.6490325928,0.4255510315,1.9558014870,0.6115624309,0.6366490126
2017-02-22,2017,2,22,38.4000000000,-107.4749999667,2387.1999511719,3.2454936276,-7.6098693848,-1.1925720215,186.3156890869,0.4159643412,0.8193832040,0.8953918219,0.8264221549
2017-02-23,2017,2,23,38.4000000000,-107.4749999667,2387.1999511719,4.4898370833,-10.2338623047,1.4524169922,140.3398132324,0.2631438353,2.0489587784,2.1699934006,1.4976999760
2017-02-24,2017,2,24,38.4000000000,-107.4749999667,2387.1999511719,3.9207735225,-12.4318603516,-2.0655578613,163.1297454834,0.1808607189,0.0000000000,2.0050382614,1.3992625475
2017-02-25,2017,2,25,38.4000000000,-107.4749999667,2387.1999511719,3.9250062549,-11.0078491211,0.0524230957,190.9091796875,0.1806636548,0.0000000000,2.4975583553,1.7323001623
2017-02-26,2017,2,26,38.4000000000,-107.4749999667,2387.1999511719,3.1935902272,-9.2058471680,7.2414184570,193.2390289307,0.1770265932,0.0000000000,3.7158155441,2.5110893250
2017-02-27,2017,2,27,38.4000000000,-107.4749999667,2387.1999511719,2.8987498101,-3.7258666992,7.7684265137,183.1449279785,0.2700766765,0.0000000000,3.5114669800,2.4372701645
2017-02-28,2017,2,28,38.4000000000,-107.4749999667,2387.1999511719,4.9524350111,-9.8150390625,3.6108032227,184.8944091797,0.3043080378,0.0000000000,2.5019834042,1.7554218769
2017-03-01,2017,3,1,38.4000000000,-107.4749999667,2387.1999511719,4.1089924500,-10.4680541992,6.0058227539,215.4751892090,0.2094379667,0.0000000000,3.5951495171,2.4500272274
2017-03-02,2017,3,2,38.4000000000,-107.4749999667,2387.1999511719,0.8514771917,-13.7680419922,5.0158020020,219.9087829590,0.2067094356,0.0000000000,1.9287582636,1.5806307793
2017-03-03,2017,3,3,38.4000000000,-107.4749999667,2387.1999511719,1.3952728412,-10.5070556641,9.8728271484,223.2248535156,0.2036582783,0.0000000000,2.9775776863,2.2168848515
2017-03-04,2017,3,4,38.4000000000,-107.4749999667,2387.1999511719,2.1945152148,-5.6550354004,9.9338317871,219.2924346924,0.2710347715,0.0000000000,3.5359032154,2.5523309708
2017-03-05,2017,3,5,38.4000000000,-107.4749999667,2387.1999511719,2.6475285072,-3.3590454102,7.4238220215,204.2238464355,0.3174518719,2.1613228321,3.2632796764,2.3680992126
2017-03-06,2017,3,6,38.4000000000,-107.4749999667,2387.1999511719,7.8291013563,-13.4670471191,-1.0821899414,181.5757293701,0.2407389526,0.0000000000,1.9294638634,1.3397997618
2017-03-07,2017,3,7,38.4000000000,-107.4749999667,2387.1999511719,4.0522414511,-13.0960449219,4.6238037109,228.9207305908,0.1918749657,0.0000000000,3.3118896484,2.2940957546
2017-03-08,2017,3,8,38.4000000000,-107.4749999667,2387.1999511719,2.5476006412,-5.4130310059,11.1258178711,228.6900634766,0.2529459407,0.0000000000,4.1508092880,2.9383225441
2017-03-09,2017,3,9,38.4000000000,-107.4749999667,2387.1999511719,1.8594481467,-3.8870300293,12.7128234863,232.1974639893,0.2562327316,0.0000000000,3.9902122021,2.9073903561
2017-03-10,2017,3,10,38.4000000000,-107.4749999667,2387.1999511719,1.4562509554,-2.5930541992,13.5258117676,231.7541809082,0.2768026914,0.0000000000,3.7303726673,2.8046736717
