date,year,month,day,centroid_lat,centroid_lon,elev_m,u2_ms,tmin_c,tmax_c,srad_wm2,ea_kpa,prcp_mm,etr_mm,eto_mm
2017-01-01,2017,1,1,38.7333333333,-106.8499999667,2566.2800292969,2.0924342475,-17.4179595947,-3.0180114746,94.2711639404,0.2246255482,0.8280314207,0.7576937079,0.5353991985
2017-01-02,2017,1,2,38.7333333333,-106.8499999667,2566.2800292969,3.0941545394,-13.8269409180,-3.4249938965,92.9207611084,0.2489574811,0.9680964351,0.8405919075,0.5828924179
2017-01-03,2017,1,3,38.7333333333,-106.8499999667,2566.2800292969,3.6907779391,-11.9569458008,-3.7489990234,95.0296325684,0.2484008843,4.9228734970,0.9806568623,0.6647542119
2017-01-04,2017,1,4,38.7333333333,-106.8499999667,2566.2800292969,4.6437212321,-10.6309570312,-1.9410156250,92.8791503906,0.3052740378,20.7285919189,0.9722211957,0.6623433828
2017-01-05,2017,1,5,38.7333333333,-106.8499999667,2566.2800292969,5.2654207542,-18.9549621582,-1.3559936523,97.4533843994,0.2910220513,16.1291027069,0.6440879107,0.4536518157
2017-01-06,2017,1,6,38.7333333333,-106.8499999667,2566.2800292969,2.0705077090,-29.1579498291,-10.1109985352,118.1151123047,0.0958263042,0.3069071472,0.6118718982,0.4217817485
2017-01-07,2017,1,7,38.7333333333,-106.8499999667,2566.2800292969,1.8538596059,-26.4679473877,-2.6019958496,109.4748229980,0.1253191071,2.7776129246,1.0919452906,0.7188918591
2017-01-08,2017,1,8,38.7333333333,-106.8499999667,2566.2800292969,3.3953233693,-11.4349426270,0.7799926758,64.1687698364,0.3751111559,17.7985553741,0.7487388849,0.5447775722
2017-01-09,2017,1,9,38.7333333333,-106.8499999667,2566.2800292969,5.9054532007,-8.3539489746,1.8489929199,86.4200515747,0.4559816802,27.3270950317,0.6923848391,0.5077086687
2017-01-10,2017,1,10,38.7333333333,-106.8499999667,2566.2800292969,5.1422927494,-9.3429626465,-1.4960083008,93.6420516968,0.2887683485,6.1329936981,1.3496475220,0.8923727274
2017-01-11,2017,1,11,38.7333333333,-106.8499999667,2566.2800292969,5.1295809993,-8.0769409180,-0.3559936523,100.1246643066,0.3035808932,12.0270519257,1.5489481688,1.0169917345
2017-01-12,2017,1,12,38.7333333333,-106.8499999667,2566.2800292969,1.8739188989,-9.1579650879,-1.3960021973,101.5407104492,0.2955779079,4.7210149765,0.9349217415,0.6792327762
2017-01-13,2017,1,13,38.7333333333,-106.8499999667,2566.2800292969,1.9806730624,-9.7089599609,0.8030029297,98.4199523926,0.3169009725,2.3450589180,1.0550332069,0.7536748648
2017-01-14,2017,1,14,38.7333333333,-106.8499999667,2566.2800292969,2.5994262917,-10.9599670410,0.0679870605,96.1055450439,0.3291171043,2.6365177631,0.9335372448,0.6738873124
2017-01-15,2017,1,15,38.7333333333,-106.8499999667,2566.2800292969,2.0952667687,-10.2359680176,0.5840087891,105.7332687378,0.3563311471,0.8764361739,0.8458400965,0.6388899684
2017-01-16,2017,1,16,38.7333333333,-106.8499999667,2566.2800292969,1.1759099118,-9.0869506836,0.9200073242,102.0299301147,0.3449339073,1.3738728762,0.8270875216,0.6476252079
2017-01-17,2017,1,17,38.7333333333,-106.8499999667,2566.2800292969,1.6113268531,-15.0959533691,0.9439941406,122.8217773438,0.2710285759,0.0000000000,1.0013111830,0.7292830348
2017-01-18,2017,1,18,38.7333333333,-106.8499999667,2566.2800292969,1.9315879172,-18.5159515381,-0.6590026855,126.6109161377,0.2045217772,0.0000000000,1.1182813644,0.7793488503
2017-01-19,2017,1,19,38.7333333333,-106.8499999667,2566.2800292969,1.9842713130,-18.7419494629,0.9540039063,123.2327270508,0.2512885122,3.1432237625,1.0756024122,0.7624004483
2017-01-20,2017,1,20,38.7333333333,-106.8499999667,2566.2800292969,2.9119492803,-15.2109436035,-2.1980041504,99.9190521240,0.2618042938,1.2533758879,0.8700215220,0.6270253658
2017-01-21,2017,1,21,38.7333333333,-106.8499999667,2566.2800292969,3.6672343456,-17.2959503174,-1.6359924316,104.9596557617,0.2421523895,1.0463681221,1.0552260876,0.7281173468
2017-01-22,2017,1,22,38.7333333333,-106.8499999667,2566.2800292969,2.8236662434,-15.4269470215,-4.1539978027,110.2501678467,0.2253720207,6.6520586014,0.8690587282,0.6275572181
2017-01-23,2017,1,23,38.7333333333,-106.8499999667,2566.2800292969,3.2312190333,-14.9299682617,-1.2860168457,100.1368026733,0.2957431407,9.7530565262,0.8144087791,0.6004329324
2017-01-24,2017,1,24,38.7333333333,-106.8499999667,2566.2800292969,3.3020983997,-20.9369567871,-4.2479919434,111.0708007812,0.1850903793,1.4768619537,0.9436837435,0.6557030082
2017-01-25,2017,1,25,38.7333333333,-106.8499999667,2566.2800292969,3.9900215677,-24.6069549561,-8.1009887695,107.2708282471,0.1285190797,0.8918845654,0.8520320654,0.5793752074
2017-01-26,2017,1,26,38.7333333333,-106.8499999667,2566.2800292969,3.5466802901,-28.8999542236,-10.5130065918,119.1184539795,0.1052836681,0.0000000000,0.6626406908,0.4604379833
2017-01-27,2017,1,27,38.7333333333,-106.8499999667,2566.2800292969,2.2530598109,-29.4959625244,-6.4199890137,133.9148712158,0.1035480741,0.0000000000,0.9530927539,0.6538968682
2017-01-28,2017,1,28,38.7333333333,-106.8499999667,2566.2800292969,2.5453530275,-20.7059539795,-1.2040161133,130.8377685547,0.1586503110,0.4840481877,1.4467525482,0.9785062671
2017-01-29,2017,1,29,38.7333333333,-106.8499999667,2566.2800292969,1.5348231026,-20.9109558105,-0.1350158691,134.8308105469,0.2105561936,0.8177324533,1.0540298223,0.7754629850
2017-01-30,2017,1,30,38.7333333333,-106.8499999667,2566.2800292969,2.0721775483,-16.7099670410,3.9619995117,135.0914611816,0.2093747179,0.0000000000,1.8473260403,1.2529104948
2017-01-31,2017,1,31,38.7333333333,-106.8499999667,2566.2800292969,2.7838133624,-10.2125305176,7.8413635254,141.3698120117,0.2169575656,0.0000000000,2.9970726967,1.9453765154
2017-02-01,2017,2,1,38.7333333333,-106.8499999667,2566.2800292969,3.3523016454,-3.8835510254,7.1153808594,145.4570312500,0.1908047075,0.0000000000,3.6661586761,2.3425142765
2017-02-02,2017,2,2,38.7333333333,-106.8499999667,2566.2800292969,3.0247128327,-5.0265563965,8.8633666992,119.7411651611,0.2234582365,0.6469130516,3.5350830555,2.2700119019
2017-02-03,2017,2,3,38.7333333333,-106.8499999667,2566.2800292969,2.3121582859,-4.3945373535,7.1433654785,130.2725830078,0.2618749218,0.0000000000,2.7064867020,1.8066655397
2017-02-04,2017,2,4,38.7333333333,-106.8499999667,2566.2800292969,3.4329118740,-5.1835388184,8.0393615723,107.7962493896,0.3280621234,0.0000000000,2.9893152714,1.9596076012
2017-02-05,2017,2,5,38.7333333333,-106.8499999667,2566.2800292969,2.1594867500,-3.8165344238,5.1963745117,150.4344482422,0.2662754323,6.0855226517,2.4284276962,1.6676123142
2017-02-06,2017,2,6,38.7333333333,-106.8499999667,2566.2800292969,3.8771583315,-12.8395446777,2.4313903809,110.9443817139,0.2590807688,1.8204361200,1.9655349255,1.3194445372
2017-02-07,2017,2,7,38.7333333333,-106.8499999667,2566.2800292969,4.4385228701,-15.2075561523,5.0793701172,115.0677947998,0.3810419500,0.8670905232,1.5456597805,1.0767730474
2017-02-08,2017,2,8,38.7333333333,-106.8499999667,2566.2800292969,5.2725444986,-11.3625549316,7.1693664551,138.4554901123,0.3410051809,0.0000000000,2.8021278381,1.8477292061
2017-02-09,2017,2,9,38.7333333333,-106.8499999667,2566.2800292969,2.8328746121,-7.3545593262,8.7993713379,146.5191040039,0.3366487713,0.0000000000,2.8045887947,1.9025602341
2017-02-10,2017,2,10,38.7333333333,-106.8499999667,2566.2800292969,4.5155986886,-15.8985351562,2.2533813477,143.3139190674,0.3809448223,6.3579077721,0.9187260866,0.7171921730
2017-02-11,2017,2,11,38.7333333333,-106.8499999667,2566.2800292969,3.1114239309,-21.0795501709,-0.0946105957,114.6533355713,0.4337938313,1.3029055595,0.3328805864,0.3494712114
2017-02-12,2017,2,12,38.7333333333,-106.8499999667,2566.2800292969,2.5795276700,-12.0075439453,1.6573730469,128.4965209961,0.4262786780,4.8688716888,0.7303453684,0.6540752649
2017-02-13,2017,2,13,38.7333333333,-106.8499999667,2566.2800292969,1.8765784444,-5.8775390625,5.5923706055,137.4070434570,0.3354825114,3.6227130890,2.0032191277,1.4609044790
2017-02-14,2017,2,14,38.7333333333,-106.8499999667,2566.2800292969,2.1132765674,-4.9335388184,4.9683776855,167.4138488770,0.1799184137,6.2784624100,2.8028843403,1.9268925190
2017-02-15,2017,2,15,38.7333333333,-106.8499999667,2566.2800292969,1.6868640797,-10.1875366211,2.2453857422,170.8724670410,0.1641186623,5.9584097862,2.0874302387,1.4993482828
2017-02-16,2017,2,16,38.7333333333,-106.8499999667,2566.2800292969,1.4265007452,-15.5815490723,2.3433776855,175.8158416748,0.1534889432,0.0000000000,1.8388719559,1.3469853401
2017-02-17,2017,2,17,38.7333333333,-106.8499999667,2566.2800292969,1.5489878484,-12.6515563965,5.1283813477,166.1748809814,0.2560117879,0.0000000000,1.9118524790,1.4237520695
2017-02-18,2017,2,18,38.7333333333,-106.8499999667,2566.2800292969,2.5539809469,-8.4965576172,8.6193786621,154.7315979004,0.3226064231,0.0000000000,2.7642564774,1.9263180494
2017-02-19,2017,2,19,38.7333333333,-106.8499999667,2566.2800292969,3.0141334980,-11.9135498047,4.0043884277,155.4607086182,0.3332488464,5.4454188347,1.8161565065,1.3309469223
2017-02-20,2017,2,20,38.7333333333,-106.8499999667,2566.2800292969,2.6371455089,-21.3525451660,-6.5206359863,173.9071960449,0.3240173790,1.4822254181,0.4206626713,0.4404572845
2017-02-21,2017,2,21,38.7333333333,-106.8499999667,2566.2800292969,3.4211431087,-22.7895416260,-0.2636169434,166.1849822998,0.3797298575,6.5281472206,0.4192979634,0.4415895343
2017-02-22,2017,2,22,38.7333333333,-106.8499999667,2566.2800292969,3.8289887090,-14.0595458984,-2.0686096191,146.3172912598,0.3400716491,1.3619223833,0.6300531030,0.5739209652
2017-02-23,2017,2,23,38.7333333333,-106.8499999667,2566.2800292969,4.5650807863,-14.3865417480,-0.4366210937,108.9072036743,0.2097554003,3.1755487919,1.8967516422,1.2856422663
2017-02-24,2017,2,24,38.7333333333,-106.8499999667,2566.2800292969,3.7719837746,-14.5075439453,-5.0836242676,127.1546401978,0.1303793193,0.8943288922,1.7617770433,1.2082655430
2017-02-25,2017,2,25,38.7333333333,-106.8499999667,2566.2800292969,4.1401590992,-17.8625396729,-3.1506103516,176.6209411621,0.1324887724,0.0000000000,1.9438375235,1.3420832157
2017-02-26,2017,2,26,38.7333333333,-106.8499999667,2566.2800292969,3.2628122369,-19.0945495605,4.7563720703,190.9487457275,0.1346368924,0.7172790766,3.0908043385,2.0773391724
2017-02-27,2017,2,27,38.7333333333,-106.8499999667,2566.2800292969,3.3776135140,-13.8805297852,6.1683898926,153.0908508301,0.2130280160,0.0000000000,3.0293588638,2.0482625961
2017-02-28,2017,2,28,38.7333333333,-106.8499999667,2566.2800292969,4.9247260921,-14.5938476562,1.9209228516,168.4675292969,0.2361756897,0.0000000000,2.2845916748,1.5784505606
2017-03-01,2017,3,1,38.7333333333,-106.8499999667,2566.2800292969,3.9351636716,-17.1998657227,4.2529235840,201.8014068604,0.1748161019,0.0000000000,3.0152626038,2.0520498753
2017-03-02,2017,3,2,38.7333333333,-106.8499999667,2566.2800292969,0.9140182392,-18.7848571777,1.6839233398,202.9798889160,0.1827970695,0.0000000000,1.5529257059,1.2762484550
2017-03-03,2017,3,3,38.7333333333,-106.8499999667,2566.2800292969,1.5372563531,-16.3448547363,6.9839111328,207.3080749512,0.1866607599,0.0000000000,2.5391664505,1.8779579401
2017-03-04,2017,3,4,38.7333333333,-106.8499999667,2566.2800292969,2.4447790884,-12.3448547363,7.6969238281,205.4832763672,0.2232429200,1.2736400366,3.1309971809,2.2272746563
2017-03-05,2017,3,5,38.7333333333,-106.8499999667,2566.2800292969,3.3379896028,-8.5758728027,7.1749206543,190.1240234375,0.2738316405,3.1432275772,3.2812356949,2.3010630608
2017-03-06,2017,3,6,38.7333333333,-106.8499999667,2566.2800292969,7.7037043387,-14.6998657227,-1.4500793457,139.0440368652,0.1913009474,1.2802323103,2.1925716400,1.4665780067
2017-03-07,2017,3,7,38.7333333333,-106.8499999667,2566.2800292969,4.1813861559,-16.9158691406,0.1458984375,211.6387023926,0.1750024640,0.0000000000,2.3137364388,1.6359739304
2017-03-08,2017,3,8,38.7333333333,-106.8499999667,2566.2800292969,2.6958047683,-9.8578552246,7.4679199219,208.3562316895,0.2626346285,0.3441201448,3.1671202183,2.2830667496
2017-03-09,2017,3,9,38.7333333333,-106.8499999667,2566.2800292969,1.9809466136,-8.2228454590,10.3459106445,214.4047393799,0.2640013245,0.0000000000,3.4131662846,2.5006222725
2017-03-10,2017,3,10,38.7333333333,-106.8499999667,2566.2800292969,1.5173564831,-7.7768615723,10.8509155273,215.0571594238,0.2759787033,0.0000000000,3.1530213356,2.3897299767
2017-03-11,2017,3,11,38.7333333333,-106.8499999667,2566.2800292969,0.9352773056,-6.0708679199,9.7249084473,218.0187072754,0.3217305841,0.0000000000,2.5577688217,2.1125664711
2017-03-12,2017,3,12,38.7333333333,-106.8499999667,2566.2800292969,3.7280714935,-7.7398742676,6.3349243164,207.7415466309,0.2917657560,0.0000000000,3.2817025185,2.3426427841
2017-03-13,2017,3,13,38.7333333333,-106.8499999667,2566.2800292969,2.9006662736,-7.7738708496,7.3649230957,219.1430358887,0.2705205559,0.0000000000,3.3961589336,2.4625523090
