date,year,month,day,centroid_lat,centroid_lon,elev_m,u2_ms,tmin_c,tmax_c,srad_wm2,ea_kpa,prcp_mm,etr_mm,eto_mm
2017-01-01,2017,1,1,38.4000000000,-107.8083333000,1875.5999755859,1.6350612549,-7.3686889648,2.5005737305,75.6971282959,0.3357704187,0.0000000000,1.1346182823,0.7828676701
2017-01-02,2017,1,2,38.4000000000,-107.8083333000,1875.5999755859,2.2112218112,-1.6536621094,3.6785827637,96.7436065674,0.3946156998,0.0000000000,1.5836654902,1.0500482321
2017-01-03,2017,1,3,38.4000000000,-107.8083333000,1875.5999755859,2.0701803035,-3.7726806641,3.5145812988,91.2242355347,0.3743877416,0.0000000000,1.4494663477,0.9714863896
2017-01-04,2017,1,4,38.4000000000,-107.8083333000,1875.5999755859,2.4473430515,-2.3826660156,4.3205810547,81.5462493896,0.4193211717,0.0000000000,1.5794886351,1.0530061722
2017-01-05,2017,1,5,38.4000000000,-107.8083333000,1875.5999755859,3.5559211140,-12.9726623535,3.7555786133,88.7735137939,0.4473512908,16.1204128265,0.6838171482,0.5049993396
2017-01-06,2017,1,6,38.4000000000,-107.8083333000,1875.5999755859,1.4003271190,-22.5086730957,-8.0284179687,119.1638946533,0.1455349028,0.0000000000,0.5242828727,0.3872316778
2017-01-07,2017,1,7,38.4000000000,-107.8083333000,1875.5999755859,1.7124881961,-19.7836669922,-3.3484252930,107.9470520020,0.1769264850,0.0000000000,0.8473299146,0.5841415524
2017-01-08,2017,1,8,38.4000000000,-107.8083333000,1875.5999755859,1.5717717756,-7.9036621094,1.8835693359,57.4458427429,0.4402276564,1.1316761971,0.6230095029,0.4968464971
2017-01-09,2017,1,9,38.4000000000,-107.8083333000,1875.5999755859,3.4033979449,-3.2156738281,7.1935668945,72.5369873047,0.5602673289,2.1023163795,1.4531649351,0.9899406433
2017-01-10,2017,1,10,38.4000000000,-107.8083333000,1875.5999755859,2.6866891289,-3.1306823730,6.1655822754,98.3522949219,0.4048675670,0.0000000000,1.9644658566,1.2856167555
2017-01-11,2017,1,11,38.4000000000,-107.8083333000,1875.5999755859,3.3422950921,-2.8496765137,5.8085876465,92.1830291748,0.4052074746,1.1962674856,2.1484920979,1.3920996189
2017-01-12,2017,1,12,38.4000000000,-107.8083333000,1875.5999755859,1.7479382221,-3.2376770020,5.4415832520,92.0263290405,0.4125883852,0.4724903107,1.4687662125,1.0102837086
2017-01-13,2017,1,13,38.4000000000,-107.8083333000,1875.5999755859,1.5044371622,-2.1826843262,6.7755676270,95.5982208252,0.4225562768,0.7140442729,1.5331759453,1.0574524403
2017-01-14,2017,1,14,38.4000000000,-107.8083333000,1875.5999755859,0.8394674197,-1.7836669922,2.3755737305,90.0022201538,0.4271793339,3.8108911514,0.8854454160,0.6939614415
2017-01-15,2017,1,15,38.4000000000,-107.8083333000,1875.5999755859,0.9726118748,-2.4736694336,3.2185913086,95.2574234009,0.4248266032,2.7075285912,0.9739835858,0.7457884550
2017-01-16,2017,1,16,38.4000000000,-107.8083333000,1875.5999755859,1.1496351751,-3.1136840820,1.3265930176,102.8854217529,0.3646570901,0.0000000000,1.0487450361,0.7789205313
2017-01-17,2017,1,17,38.4000000000,-107.8083333000,1875.5999755859,0.3578380667,-3.8436645508,5.2615905762,124.9222259521,0.3419049955,0.0000000000,0.8220863938,0.6749188900
2017-01-18,2017,1,18,38.4000000000,-107.8083333000,1875.5999755859,0.9351479305,-6.4766601562,6.2355895996,128.1000061035,0.3159669689,0.0000000000,1.2990304232,0.9317650795
2017-01-19,2017,1,19,38.4000000000,-107.8083333000,1875.5999755859,1.4266668553,-6.5846618652,4.0685668945,111.8558044434,0.3653055497,2.2102634907,1.2375242710,0.8928251863
2017-01-20,2017,1,20,38.4000000000,-107.8083333000,1875.5999755859,1.7323272571,-3.3636840820,3.2745910645,86.1862106323,0.3970156805,0.0000000000,1.3192447424,0.9379680753
2017-01-21,2017,1,21,38.4000000000,-107.8083333000,1875.5999755859,2.2961956631,-6.0606750488,0.6025939941,107.6086730957,0.3779404200,3.8480529785,1.0653587580,0.7792908549
2017-01-22,2017,1,22,38.4000000000,-107.8083333000,1875.5999755859,1.8741261130,-8.1406616211,2.4255920410,114.8895339966,0.3310871821,0.8175674677,1.2877655029,0.9152862430
2017-01-23,2017,1,23,38.4000000000,-107.8083333000,1875.5999755859,2.1329071660,-4.8216613770,7.0205932617,79.6810607910,0.4304613759,0.6671492457,1.7087268829,1.1706545353
2017-01-24,2017,1,24,38.4000000000,-107.8083333000,1875.5999755859,1.8061170729,-8.7936767578,-0.7354187012,100.5343475342,0.3111352877,1.8200608492,0.9867398143,0.7310205698
2017-01-25,2017,1,25,38.4000000000,-107.8083333000,1875.5999755859,1.7487833064,-10.9876770020,-2.4774230957,99.5843963623,0.2317693458,0.7759811878,1.0619257689,0.7615959048
2017-01-26,2017,1,26,38.4000000000,-107.8083333000,1875.5999755859,1.7143768408,-17.0926879883,-3.3194335937,93.3964691162,0.2023283064,0.0000000000,0.8632658720,0.6262571216
2017-01-27,2017,1,27,38.4000000000,-107.8083333000,1875.5999755859,1.7972168505,-16.6656860352,-3.4184326172,140.2151031494,0.1571222032,0.0000000000,1.1568613052,0.8137421608
2017-01-28,2017,1,28,38.4000000000,-107.8083333000,1875.5999755859,0.9188594180,-14.0636657715,1.3935791016,135.9240417480,0.1908277002,0.0000000000,1.1521869898,0.8500959277
2017-01-29,2017,1,29,38.4000000000,-107.8083333000,1875.5999755859,0.7458493762,-9.8826660156,5.5525756836,136.8225708008,0.2399752987,0.0000000000,1.3011001348,0.9710642695
2017-01-30,2017,1,30,38.4000000000,-107.8083333000,1875.5999755859,0.6611979813,-7.5766662598,7.9785705566,139.0645904541,0.2450485036,0.0000000000,1.4187577963,1.0560450554
2017-01-31,2017,1,31,38.4000000000,-107.8083333000,1875.5999755859,1.3471987120,-3.5564331055,12.0170837402,146.2286987305,0.2739767780,0.0000000000,2.5459315777,1.7107697725
2017-02-01,2017,2,1,38.4000000000,-107.8083333000,1875.5999755859,1.1048090653,0.9785400391,13.2650695801,156.1156158447,0.2921074861,0.0000000000,2.4779603481,1.6917828321
2017-02-02,2017,2,2,38.4000000000,-107.8083333000,1875.5999755859,1.4345517818,0.8515563965,15.1540771484,107.5013427734,0.3355333084,0.0000000000,2.9970493317,1.9889183044
