Date,TMax,TMin,Precip,Snow,SDep,Rs,Wind,TDew,ASCEr,ASCEg
Units,C,C,mm/day,mm/day,mm,MJ/m2,m/s,C,mm/day,mm/day
1950-01-01,17.211553415999997,-1.1284465839700002,0.0,0,0,11.494772479482771,2.78,-1.8202533469700002,3.870250815893739,2.4016390160585424
1950-01-02,23.111553416,7.57155341603,0.0,0,0,10.607913019815632,2.78,6.879746653030001,4.2001847327088315,2.6405885488189913
1950-01-03,16.751553416,-13.338446584000001,0.0,0,0,12.694131675413857,2.78,-14.030253347000002,5.062173546324291,3.064332227547712
1950-01-04,-2.36844658397,-15.538446584,0.0,0,0,10.493439140002419,2.78,-16.230253347,1.4041438185174078,0.9180528192947407
1950-01-05,-0.658446583966,-14.418446584000002,0.0,0,0,10.758367850615961,2.78,-15.110253347000002,1.5705231274910803,1.0220231010429792
1950-01-06,8.091553416030001,-12.238446584,0.0,0,0,12.328966202308694,2.78,-12.930253347,2.8949841835292403,1.8133182219858253
1950-01-07,9.96155341603,-7.8484465839699995,0.0,0,0,11.875951519223637,2.78,-8.54025334697,2.930722296948941,1.8480583053529878
1950-01-08,14.991553415999999,-4.50844658397,0.0,0,0,12.12547745052029,2.78,-5.200253346969999,3.747013006939139,2.3356463839089305
1950-01-09,19.411553416,3.26155341603,0.0,0,0,11.26376123727873,2.78,2.56974665303,3.901163199773246,2.4621139739926754
1950-01-10,10.061553416,-3.9084465839699996,0.464592633796,0,0,10.857974949988687,2.78,-4.60025334697,2.593115189566371,1.670613736498757
1950-01-11,8.421553416030001,-2.69844658397,3.9232266853900004,0,0,9.546136325710135,2.78,-3.39025334697,2.146670722462017,1.4129158067153629
1950-01-12,13.931553416,2.7915534160299997,1.5692906741600001,0,0,9.461341166381139,2.78,2.0997466530299995,2.643431302218425,1.7348188067160195
1950-01-13,12.811553415999999,-1.0884465839700002,0.0,0,0,10.937471172190772,2.78,-1.7802533469700002,2.889775124625664,1.8652422131910156
1950-01-14,16.581553416,-3.8884465839699995,0.0,0,0,12.65571176630358,2.78,-4.580253346969999,4.122357374552768,2.575526637100475
1950-01-15,13.401553415999999,-4.92844658397,0.0,0,0,12.442003814983133,2.78,-5.620253346969999,3.4619458258213602,2.191473263707043
1950-01-16,8.52155341603,-7.70844658397,0.0,0,0,12.12222268927023,2.78,-8.40025334697,2.6785130795596417,1.7241142350179803
1950-01-17,23.491553416,-0.128446583966,0.0,0,0,13.06280382325249,2.78,-0.820253346966,5.633405798945449,3.47537077530883
1950-01-18,6.551553416030001,-8.26844658397,0.0,0,0,11.859724745940024,2.78,-8.960253346970001,2.3609132658113863,1.5390868430377123
1950-01-19,5.49155341603,-7.79844658397,0.0,0,0,11.317829771511212,2.78,-8.49025334697,2.1356163091527427,1.408162976068724
1950-01-20,15.341553415999998,-6.728446583969999,0.0,0,0,13.456245459932815,2.78,-7.420253346969999,4.165655140659434,2.6155652022551914
1950-01-21,21.011553415999998,-1.26844658397,0.0,0,0,13.388639325385062,2.78,-1.96025334697,5.093350690127357,3.181837544242662
1950-01-22,24.991553416,3.5915534160300004,0.0,0,0,13.214437269302605,2.78,2.8997466530300002,5.602424378040726,3.509454697352475
