Date,TMax,TMin,Precip,Snow,SDep,Rs,Wind,TDew,ASCEr,ASCEg
Units,C,C,mm/day,mm/day,mm,MJ/m2,m/s,C,mm/day,mm/day
1950-01-01,16.1570462766,4.4670462765800005,0.0,0,0,9.250967551410035,2.78,3.8483954825800004,2.882301691688607,1.856691536844593
1950-01-02,17.267046276600002,4.47704627658,0.0,0,0,9.787089802123988,2.78,3.85839548258,3.158136549162947,2.0191412092589873
1950-01-03,23.347046276599997,12.7470462766,0.0,0,0,8.479554235219105,2.78,12.1283954826,3.3794013991286773,2.206075742165166
1950-01-04,16.6370462766,-13.282953723399999,0.0,0,0,12.783963829454178,2.78,-13.9016045174,5.0718747737804675,3.072827532721843
1950-01-05,-4.952953723419999,-13.272953723399999,0.0,0,0,7.678401741100412,2.78,-13.8916045174,0.9634840938417448,0.6529230186973682
1950-01-06,4.7170462765800005,-11.0629537234,0.0,0,0,11.45360561656289,2.78,-11.6816045174,2.189829154200866,1.399770111878515
1950-01-07,9.54704627658,-9.94295372342,0.0,0,0,12.256434008792779,2.78,-10.561604517420001,3.0350144366208687,1.9019974794831787
1950-01-08,12.2470462766,-9.38295372342,0.0,0,0,12.555004802842696,2.78,-10.00160451742,3.5940651925729226,2.2319822111282313
1950-01-09,13.3570462766,-0.522953723418,0.0,0,0,10.696306783766381,2.78,-1.141604517418,2.93136525374239,1.8786299130362054
1950-01-10,16.1370462766,-0.5129537234179999,0.0,0,0,11.610917499194986,2.78,-1.1316045174179998,3.602687210654539,2.2729289676957394
1950-01-11,12.2470462766,-2.72295372342,0.300883267359,0,0,11.267961496753685,2.78,-3.34160451742,2.949249623633828,1.885420365480761
1950-01-12,8.38704627658,-1.60295372342,5.6133534566600005,0,0,8.913575010676198,2.78,-2.22160451742,2.0219919875218504,1.342158082621408
1950-01-13,15.6070462766,5.60704627658,2.3036375157199998,0,0,8.775505359332236,2.78,4.9883954825800005,2.638671973129287,1.7466296785081503
1950-01-14,15.5970462766,-2.74295372342,0.0,0,0,12.326023400264399,2.78,-3.36160451742,3.768283585597868,2.373457286323697
1950-01-15,16.697046276600002,-3.8329537234199993,0.0,0,0,12.774597312120296,2.78,-4.451604517419999,4.187283202111495,2.6163369141791746
1950-01-16,12.287046276600002,-5.49295372342,0.0,0,0,12.463903580256993,2.78,-6.11160451742,3.2873613085208517,2.0888996073754793
1950-01-17,21.107046276600002,-5.48295372342,0.0,0,0,13.421405733849015,2.78,-6.101604517419999,5.674888830161827,3.478756483094235
1950-01-18,25.5870462766,-7.18295372342,0.0,0,0,13.673488646868618,2.78,-7.8016045174199995,7.440195638085276,4.493255339976339
1950-01-19,3.41704627658,-7.17295372342,0.0,0,0,9.862695734861372,2.78,-7.79160451742,1.7201146537320327,1.1545095460785575
1950-01-20,4.48704627658,-7.16295372342,0.0,0,0,10.576383425916973,2.78,-7.78160451742,1.9070393833804367,1.2713515201689833
1950-01-21,13.3670462766,-3.28295372342,0.0,0,0,12.569990097250233,2.78,-3.90160451742,3.3475225327247915,2.1527095319132665
1950-01-22,17.8270462766,-3.26295372342,0.0,0,0,13.471443000365918,2.78,-3.88160451742,4.495041283656913,2.8294922721293005
1950-01-23,21.1270462766,-1.0529537234200002,0.0,0,0,13.605588002774383,2.78,-1.67160451742,5.173749363193805,3.2395920193203978
1950-01-24,14.5170462766,-0.5029537234179999,0.0,0,0,12.263298458596747,2.78,-1.121604517418,3.3260065195248782,2.166660146525708
1950-01-25,28.917046276599997,-1.0729537234200002,0.0,0,0,14.163505658250225,2.78,-1.69160451742,7.8388151548364124,4.7840750627801
1950-01-26,6.68704627658,-7.18295372342,0.0,0,0,12.222512387314827,2.78,-7.8016045174199995,2.3517879539658892,1.5600599151193826
1950-01-27,3.9470462765800005,-10.502953723400001,0.0,0,0,12.6598915955013,2.78,-11.121604517400002,2.1293055508666816,1.4154391026503947
1950-01-28,11.1670462766,-10.4829537234,0.0,0,0,14.447571459479288,2.78,-11.1016045174,3.5900627515790218,2.2960948384750313
1950-01-29,23.3370462766,-9.39295372342,0.0,0,0,14.980197931948375,2.78,-10.01160451742,7.051390901179918,4.327994196299443
1950-01-30,1.13704627658,-10.5129537234,0.0,0,0,11.548747506878714,2.78,-11.131604517400001,1.6862284993958085,1.149804577633126
1950-01-31,2.23704627658,-6.62295372342,0.0,0,0,9.50904583467095,2.78,-7.24160451742,1.5406610681663067,1.0720775935045277
1950-02-01,-1.06620242412,-6.66620242412,0.0,0,0,6.452027401414933,3.18,-7.22125872312,1.0575421529351097,0.7536279464066717
1950-02-02,7.773797575880001,-6.0962024241199995,0.0,0,0,12.944494421006173,3.18,-6.65125872312,2.6650440197818464,1.774009887328071
1950-02-03,5.58379757588,-7.75620242412,0.0,0,0,12.854280553893592,3.18,-8.31125872312,2.3763000541746835,1.5932652406791528
1950-02-04,11.6837975759,-7.71620242412,0.0,0,0,14.943276763281817,3.18,-8.271258723119999,3.772837248190852,2.446160655094287
1950-02-05,17.793797575899998,1.69379757588,0.0,0,0,13.897314373241963,3.18,1.1387412768799998,4.302988383789089,2.822492770456792
1950-02-06,21.133797575899997,6.66379757588,0.0,0,0,13.199693034430515,3.18,6.10874127688,4.515435223944495,2.9920686170182482
1950-02-07,28.8837975759,2.78379757588,0.0,0,0,15.587827496299916,3.18,2.22874127688,8.031391386120777,5.034757165621217
1950-02-08,29.4037975759,2.78379757588,0.0,0,0,15.75498997001355,3.18,2.22874127688,8.263602126341066,5.178546833531973
1950-02-09,13.343797575899998,-3.8662024241199995,0.0,0,0,14.996472540156395,3.18,-4.421258723119999,3.850949364849498,2.5409326564648795
1950-02-10,16.1437975759,-1.64620242412,0.11858315805700001,0,0,15.205155598838203,3.18,-2.20125872312,4.368578357113163,2.872888101692875
1950-02-11,20.523797575899998,-1.64620242412,11.7397326476,0,0,16.111936571135114,3.18,-2.20125872312,5.750969300173328,3.703388140044732
1950-02-12,10.5737975759,7.773797575880001,24.556595647600002,0,0,3.7394655468441127,3.18,7.21874127688,1.152767983086557,0.8418756366974103
1950-02-13,13.893797575899999,-1.09620242412,8.083418607539999,0,0,14.67194878105897,3.18,-1.6512587231199998,3.703485002940648,2.491160469269808
1950-02-14,1.16379757588,-2.76620242412,0.0,0,0,5.2318895996779435,3.18,-3.3212587231199997,1.0136818664205638,0.7526811910215843
1950-02-15,10.0337975759,-2.76620242412,0.0,0,0,13.891380316893214,3.18,-3.3212587231199997,2.9446815354480256,2.020833899098868
1950-02-16,18.3437975759,-1.64620242412,0.0,0,0,16.58469048065452,3.18,-2.20125872312,5.1314179281466465,3.3733422547891228
1950-02-17,21.6737975759,-1.63620242412,0.0,0,0,17.174830938234777,3.18,-2.19125872312,6.250999252489325,4.047998087340283
1950-02-18,22.7637975759,1.66379757588,0.0,0,0,16.923693670015286,3.18,1.10874127688,6.148609235424753,4.024495439048402
1950-02-19,14.993797575899999,-3.31620242412,0.0,0,0,16.778170249381237,3.18,-3.87125872312,4.388296249417926,2.933790189076917
1950-02-20,16.6937975759,-3.30620242412,0.0,0,0,17.308615459105592,3.18,-3.8612587231199997,4.905999408092415,3.2548181578338906
1950-02-21,20.543797575899998,4.45379757588,0.0,0,0,16.029620189726007,3.18,3.8987412768800005,4.991228886230791,3.3786910307760465
1950-02-22,18.863797575899998,-3.8762024241199993,0.0,0,0,18.062960718909387,3.18,-4.431258723119999,5.696982223824891,3.7409532893610944
1950-02-23,13.9337975759,-3.8662024241199995,0.0,0,0,17.31233944987321,3.18,-4.421258723119999,4.215993935481996,2.851304006206189
1950-02-24,24.9937975759,0.00379757587976,0.0,0,0,18.408088731024883,3.18,-0.5512587231202399,7.356732901552503,4.780841342361266
1950-02-25,20.023797575899998,0.56379757588,0.0,0,0,17.84853069317347,3.18,0.008741276880000037,5.52560628551452,3.702291164098262
1950-02-26,25.533797575900003,1.6737975758799999,0.0,0,0,18.582297985934876,3.18,1.1187412768799998,7.334183579014085,4.804726390393083
1950-02-27,15.6137975759,1.68379757588,0.0,0,0,16.07217949022638,3.18,1.12874127688,4.0048056261579905,2.7872547034961523
1950-02-28,25.553797575900003,5.563797575880001,0.0,0,0,18.186439753811474,3.18,5.00874127688,6.705845273522753,4.494866609662572
1950-03-01,16.1126139935,-2.16738600655,0.0,0,0,18.40559644646236,3.54,-3.36348625955,5.090246393464046,3.4237430412908134
1950-03-02,12.2326139935,-2.17738600655,0.0,0,0,17.009583150781605,3.54,-3.37348625955,3.9277021820887064,2.705071108374668
1950-03-03,5.632613993450001,-1.63738600655,0.0,0,0,10.667641473209303,3.54,-2.83348625955,2.104885322951462,1.510125881864591
1950-03-04,17.242613993499997,-1.62738600655,0.0,0,0,19.052965876468075,3.54,-2.82348625955,5.440096957302577,3.6654408293357044
1950-03-05,17.8226139935,2.8026139934500005,0.0,0,0,17.563361630499017,3.54,1.6065137404500005,4.9871328724556445,3.4287996672083305
1950-03-06,26.6926139935,2.7926139934500003,0.0,0,0,19.978439651468598,3.54,1.5965137404500003,8.361503693593205,5.4920988771947865
1950-03-07,28.8926139935,3.36261399345,0.0,0,0,20.248512704150663,3.54,2.16651374045,9.233657982974222,6.02715355656889
1950-03-08,14.442613993499998,-5.51738600655,0.0,0,0,20.205416017127284,3.54,-6.71348625955,5.077956802001656,3.4369367989506716
1950-03-09,11.7326139935,-5.497386006549999,0.0,0,0,19.59571384958827,3.54,-6.693486259549999,4.281706053740734,2.9475227911775916
1950-03-10,21.6926139935,-0.47738600655,0.0,0,0,20.692433317187973,3.54,-1.67348625955,6.978739719551191,4.664095403559336
1950-03-11,24.992613993499997,-0.52738600655,0.0,0,0,21.207458939260984,3.54,-1.72348625955,8.32336797292123,5.48115447963843
