Date,TMax,TMin,Prcp
1964-05-17,31.6942230698,15.9542230698,0.0
1964-05-18,30.1042230698,15.6142230698,0.0
1964-05-19,31.1142230698,12.7842230698,0.0
1964-05-20,31.1642230698,15.1242230698,0.0
1964-05-21,32.2142230698,15.5342230698,0.0
1964-05-22,32.6742230698,16.6442230698,0.0
1964-05-23,33.9242230698,18.2242230698,0.0
1964-05-24,30.8942230698,19.4442230698,0.0
1964-05-25,34.5742230698,19.5742230698,0.0
1964-05-26,33.4942230698,17.9342230698,4.18322542017
1964-05-27,30.5342230698,16.9142230698,1.90396255448
1964-05-28,19.9742230698,11.6342230698,3.56992978964
1964-05-29,18.8242230698,13.2142230698,14.4353314827
1964-05-30,18.1242230698,12.2142230698,5.38235568285
1964-05-31,22.4442230698,9.41422306982,0.0
1964-06-01,24.4997075247,6.13970752474,0.0785504061411
1964-06-02,23.7097075247,12.8697075247,0.0294564023029
1964-06-03,29.9997075247,12.3297075247,0.932786072925
1964-06-04,28.9597075247,14.0397075247,1.42372611131
1964-06-05,28.5497075247,13.9697075247,0.392752030705
1964-06-06,33.2897075247,12.3397075247,0.0294564023029
1964-06-07,40.9897075247,19.3797075247,0.0
1964-06-08,38.3097075247,22.7897075247,0.0
1964-06-09,38.3697075247,20.5697075247,0.687316053734
1964-06-10,35.1597075247,23.3397075247,22.7010673748
1964-06-11,29.7997075247,16.8297075247,11.5861849058
1964-06-12,29.5597075247,17.8597075247,5.1254140007
1964-06-13,26.8797075247,16.7697075247,63.4490905604
1964-06-14,29.5297075247,16.2897075247,25.4110563866
1964-06-15,31.0997075247,18.2497075247,1.27644409979
1964-06-16,28.9697075247,19.8097075247,0.510577639917
1964-06-17,33.8497075247,20.5997075247,0.0
1964-06-18,35.5297075247,22.1997075247,0.0
1964-06-19,37.6697075247,22.1697075247,0.0
1964-06-20,35.6097075247,22.6097075247,0.294564023029
1964-06-21,34.4497075247,18.4797075247,0.117825609212
1964-06-22,34.0097075247,21.3097075247,0.510577639917
1964-06-23,29.5497075247,16.1397075247,0.196376015353
1964-06-24,31.6897075247,11.8397075247,0.0
1964-06-25,31.7297075247,13.5897075247,0.0
1964-06-26,32.3197075247,15.1197075247,0.0
1964-06-27,32.8997075247,15.2497075247,0.0
1964-06-28,33.4197075247,13.8497075247,0.0
1964-06-29,34.0597075247,18.9497075247,0.0
1964-06-30,36.3097075247,19.5297075247,0.0294564023029
1964-07-01,36.2166344018,21.7766344018,0.0
1964-07-02,35.3066344018,20.5566344018,0.0
1964-07-03,36.3766344018,20.5066344018,0.0
1964-07-04,37.9266344018,23.9066344018,0.0
1964-07-05,37.4666344018,19.6666344018,0.0
1964-07-06,37.9466344018,20.1266344018,0.0
1964-07-07,39.0766344018,19.9766344018,0.0
1964-07-08,39.5566344018,20.0666344018,0.0
1964-07-09,39.9466344018,16.5166344018,0.0
1964-07-10,40.7666344018,19.6166344018,0.0
1964-07-11,36.5966344018,25.0166344018,0.0
1964-07-12,31.3466344018,18.0266344018,0.0
1964-07-13,33.4466344018,12.3966344018,0.0
1964-07-14,37.9566344018,14.6466344018,0.0
1964-07-15,37.9066344018,18.3266344018,0.0
1964-07-16,33.1166344018,20.1266344018,0.155471776797
