Date,TMax,TMin,Prcp
1971-11-27,12.9142573862,-1.59574261379,0.0
1971-11-28,18.2142573862,1.61425738621,0.0
1971-11-29,10.0142573862,-1.64574261379,0.0
1971-11-30,5.50425738621,-1.68574261379,1.24825163274
1971-12-01,0.512806843029,-1.70719315697,8.35340831845
1971-12-02,-0.577193156971,-2.30719315697,8.08219376265
1971-12-03,0.0128068430292,-5.01719315697,1.98529054841
1971-12-04,-0.517193156971,-4.43719315697,0.813643667381
1971-12-05,2.14280684303,-2.35719315697,0.325457466952
1971-12-06,4.50280684303,-6.11719315697,0.0
1971-12-07,8.29280684303,-4.96719315697,0.325457466952
1971-12-08,10.772806843,-3.84719315697,0.466489035965
1971-12-09,-0.337193156971,-2.71719315697,0.130182986781
1971-12-10,4.09280684303,-0.537193156971,0.0
1971-12-11,9.53280684303,-1.11719315697,0.0
1971-12-12,14.952806843,0.452806843029,0.0
1971-12-13,10.002806843,-2.74719315697,0.0
1971-12-14,11.002806843,-2.15719315697,1.79001606824
1971-12-15,6.96280684303,-1.59719315697,0.705157845064
1971-12-16,16.402806843,-0.657193156971,0.0
1971-12-17,10.582806843,-4.89719315697,0.0
1971-12-18,11.642806843,-5.48719315697,0.0
1971-12-19,11.232806843,-4.29719315697,0.0
1971-12-20,16.602806843,-4.26719315697,0.0
1971-12-21,18.122806843,-4.25719315697,0.0
1971-12-22,14.962806843,-4.30719315697,0.0
1971-12-23,16.772806843,-3.06719315697,0.0
1971-12-24,26.452806843,9.74280684303,0.0
1971-12-25,18.542806843,4.02280684303,0.0
1971-12-26,25.492806843,6.08280684303,0.0
1971-12-27,24.332806843,9.11280684303,0.0
1971-12-28,21.002806843,-1.64719315697,0.0
1971-12-29,6.82280684303,-1.10719315697,0.0
1971-12-30,10.622806843,-2.74719315697,0.0
1971-12-31,12.112806843,-3.82719315697,0.0
1972-01-01,8.94199422027,-3.15800577973,0.0
1972-01-02,9.02199422027,-6.64800577973,0.0
1972-01-03,13.9519942203,-1.83800577973,0.608553400338
1972-01-04,5.86199422027,-13.3580057797,0.243421360135
1972-01-05,-7.48800577973,-16.0680057797,0.0
1972-01-06,5.61199422027,-15.3180057797,0.0
1972-01-07,12.7519942203,-7.13800577973,0.0
1972-01-08,13.3719942203,-6.31800577973,0.0
1972-01-09,19.9619942203,-0.00800577972672,0.0
1972-01-10,16.0219942203,-0.548005779727,0.0
1972-01-11,16.0019942203,-4.35800577973,0.0
1972-01-12,12.8319942203,-3.64800577973,0.0
1972-01-13,20.5119942203,-6.11800577973,0.0
1972-01-14,2.70199422027,-10.4980057797,0.0
1972-01-15,1.97199422027,-16.1380057797,0.0
1972-01-16,-0.158005779727,-15.5580057797,0.0
1972-01-17,13.8019942203,-7.20800577973,0.0
1972-01-18,21.0419942203,1.50199422027,0.0
1972-01-19,21.7319942203,0.581994220273,0.0
1972-01-20,19.3919942203,1.58199422027,0.0
1972-01-21,18.2119942203,-1.66800577973,0.0
1972-01-22,10.7519942203,-3.28800577973,0.0
1972-01-23,18.9119942203,1.65199422027,0.0
1972-01-24,26.5519942203,-0.228005779727,0.0
1972-01-25,13.3719942203,-5.07800577973,0.0
1972-01-26,10.6919942203,-5.39800577973,0.0
1972-01-27,13.1819942203,-11.0880057797,0.0
1972-01-28,-0.818005779727,-11.6580057797,0.0
1972-01-29,-2.85800577973,-10.0180057797,0.0
1972-01-30,8.21199422027,-6.72800577973,0.0
1972-01-31,7.20199422027,-7.74800577973,0.0
1972-02-01,7.30798988999,-6.54201011001,0.0
1972-02-02,15.94798989,-8.35201011001,0.0
1972-02-03,-0.00201011000926,-11.12201011,0.0
1972-02-04,6.70798988999,-11.00201011,0.0
1972-02-05,13.72798989,-8.08201011001,0.0
1972-02-06,14.38798989,-1.08201011001,0.0
1972-02-07,6.07798988999,-8.91201011001,0.0
1972-02-08,8.97798988999,-10.86201011,0.0
1972-02-09,17.71798989,-6.67201011001,0.0
1972-02-10,17.15798989,-6.12201011001,1.14528066054
1972-02-11,7.45798988999,-6.71201011001,1.03956244572
1972-02-12,5.12798988999,-5.05201011001,0.205563195481
1972-02-13,17.66798989,-5.33201011001,0.0
1972-02-14,19.97798989,-2.68201011001,0.0
1972-02-15,22.53798989,-2.70201011001,0.0
1972-02-16,9.04798988999,-3.77201011001,0.0
1972-02-17,18.25798989,-1.55201011001,0.0
1972-02-18,17.71798989,-5.36201011001,0.0
1972-02-19,13.46798989,-4.84201011001,0.0
1972-02-20,20.54798989,-1.07201011001,0.0
1972-02-21,23.85798989,5.90798988999,0.0
1972-02-22,24.92798989,1.05798988999,0.0
1972-02-23,13.38798989,1.58798988999,0.0
1972-02-24,26.07798989,3.70798988999,0.0
1972-02-25,17.87798989,1.66798988999,0.0
1972-02-26,21.64798989,-2.22201011001,0.0
1972-02-27,11.92798989,-1.67201011001,0.0
1972-02-28,23.88798989,-0.372010110009,0.0
1972-02-29,27.78798989,3.92798988999,0.0
1972-03-01,29.3999227224,3.87992272239,0.0
1972-03-02,15.9899227224,-7.17007727761,0.0
1972-03-03,16.6099227224,-6.51007727761,0.0
1972-03-04,28.7299227224,-2.16007727761,0.0
1972-03-05,12.7299227224,-4.37007727761,0.0
1972-03-06,14.6799227224,-1.08007727761,0.0
1972-03-07,29.3299227224,3.36992272239,0.0
1972-03-08,17.7799227224,-2.71007727761,0.0
1972-03-09,10.8599227224,-2.59007727761,0.0
1972-03-10,25.9699227224,-1.25007727761,0.0
1972-03-11,28.8399227224,6.80992272239,0.0
1972-03-12,29.3799227224,9.50992272239,0.0
1972-03-13,27.2299227224,5.55992272239,0.0
1972-03-14,22.7999227224,5.09992272239,0.0
1972-03-15,30.9799227224,7.25992272239,0.0
1972-03-16,20.5699227224,2.43992272239,0.0
1972-03-17,24.4599227224,2.97992272239,0.0
1972-03-18,27.1699227224,5.57992272239,0.0
1972-03-19,22.3599227224,6.04992272239,0.0
1972-03-20,30.4499227224,11.4599227224,0.0
1972-03-21,23.8899227224,7.10992272239,0.0
1972-03-22,23.2999227224,2.47992272239,0.0
1972-03-23,27.6999227224,5.16992272239,0.0
1972-03-24,19.3599227224,9.40992272239,0.0
1972-03-25,16.7199227224,1.66992272239,0.0
1972-03-26,23.9599227224,2.31992272239,0.0
1972-03-27,28.8799227224,5.52992272239,0.0
1972-03-28,18.2499227224,4.45992272239,0.0
1972-03-29,14.4099227224,-3.86007727761,0.0
1972-03-30,11.6299227224,-3.21007727761,0.0
1972-03-31,12.2099227224,-3.21007727761,0.0
1972-04-01,16.108645987,-2.77135401301,0.0
1972-04-02,21.198645987,0.118645986994,0.0
1972-04-03,24.948645987,5.86864598699,0.0
1972-04-04,15.058645987,0.088645986994,0.0
1972-04-05,18.458645987,2.22864598699,0.0
